benchmark_id,dataset,task_or_split,score,target_risk,risk_gap,taxonomy,evidence_role,artifact_role,modality,shift_type,task_type,runner,data_access,license_note,requires_seed_stability,metric_contract
Online Shoppers::AugSepOct->Nov,Online Shoppers,AugSepOct->Nov,sirc,0.1628440366972477,0.0433105090004547,mixed/needs replication,appendix-width,breadth / non-confirming width check,web behavior tabular,explicit month shift,binary classification,scripts/run_online_shoppers_neural_scds_scores.py,UCI Online Shoppers Purchasing Intention,UCI page reports CC BY 4.0; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Online Shoppers::MarMay->Nov,Online Shoppers,MarMay->Nov,react_energy,0.1351125938281901,0.1220691155673206,mixed/needs replication,appendix-width,breadth / non-confirming width check,web behavior tabular,explicit month shift,binary classification,scripts/run_online_shoppers_neural_scds_scores.py,UCI Online Shoppers Purchasing Intention,UCI page reports CC BY 4.0; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Online Shoppers::May->Nov,Online Shoppers,May->Nov,sirc,0.1378231859883236,0.0976004137110958,mixed/needs replication,appendix-width,breadth / non-confirming width check,web behavior tabular,explicit month shift,binary classification,scripts/run_online_shoppers_neural_scds_scores.py,UCI Online Shoppers Purchasing Intention,UCI page reports CC BY 4.0; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Online Shoppers::PreNov->Nov,Online Shoppers,PreNov->Nov,sirc,0.146788990825688,0.0760422193489896,mixed/needs replication,appendix-width,breadth / non-confirming width check,web behavior tabular,explicit month shift,binary classification,scripts/run_online_shoppers_neural_scds_scores.py,UCI Online Shoppers Purchasing Intention,UCI page reports CC BY 4.0; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSEmployment->state_ny_2018,Folktables ACS,ACSEmployment->state_ny_2018,doctor,0.1233035714285714,-0.0082242063492063,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSEmployment->state_tx_2018,Folktables ACS,ACSEmployment->state_tx_2018,sirc,0.1277678571428571,-0.0051488095238095,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSEmployment->time_ca_2017,Folktables ACS,ACSEmployment->time_ca_2017,doctor,0.1295535714285714,-0.0019742063492063,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSIncome->state_ny_2018,Folktables ACS,ACSIncome->state_ny_2018,doctor,0.1808928571428571,0.0443650793650793,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSIncome->state_tx_2018,Folktables ACS,ACSIncome->state_tx_2018,sirc,0.1740178571428571,0.036656746031746,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSIncome->time_ca_2017,Folktables ACS,ACSIncome->time_ca_2017,doctor,0.150625,0.0140972222222222,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSPublicCoverage->state_ny_2018,Folktables ACS,ACSPublicCoverage->state_ny_2018,sirc,0.2748214285714285,0.0135398401237751,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSPublicCoverage->state_tx_2018,Folktables ACS,ACSPublicCoverage->state_tx_2018,knn,0.3483928571428571,0.0740246260959257,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSPublicCoverage->time_ca_2017,Folktables ACS,ACSPublicCoverage->time_ca_2017,sirc,0.2747321428571428,0.0134505544094894,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSTravelTime->state_ny_2018,Folktables ACS,ACSTravelTime->state_ny_2018,geo_margin,0.2774107142857143,-0.062172619047619,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSTravelTime->state_tx_2018,Folktables ACS,ACSTravelTime->state_tx_2018,geo_margin,0.3995535714285714,0.059970238095238,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Folktables ACS::ACSTravelTime->time_ca_2017,Folktables ACS,ACSTravelTime->time_ca_2017,doctor,0.3370535714285714,-0.0016964285714285,mixed/needs replication,appendix-sanity,non-confirming socio-economic sanity check,socio-economic tabular,state/year shift,binary classification tasks,scripts/run_folktables_neural_scds_scores.py,Folktables ACS public-use tasks,Folktables code MIT; ACS data under Census terms; raw redistribution avoided,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Bank Marketing::may->apr,Bank Marketing,may->apr,best balanced vs unweighted,0.1375266524520256,0.09636442484912,artifact-sensitive,appendix-artifact,artifact-sensitive cautionary case,marketing tabular,month shift,binary classification,scripts/run_bank_marketing_neural_scds_scores.py; scripts/audit_bank_weighting_artifact.py,OpenML/UCI Bank Marketing,UCI page reports CC BY 4.0; OpenML mirror provenance recorded; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Bank Marketing::may->aug,Bank Marketing,may->aug,best balanced vs unweighted,0.0853512107264358,0.0441889831235302,artifact-sensitive,appendix-artifact,artifact-sensitive cautionary case,marketing tabular,month shift,binary classification,scripts/run_bank_marketing_neural_scds_scores.py; scripts/audit_bank_weighting_artifact.py,OpenML/UCI Bank Marketing,UCI page reports CC BY 4.0; OpenML mirror provenance recorded; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Bank Marketing::may->feb,Bank Marketing,may->feb,best balanced vs unweighted,0.1057102406795658,0.0645480130766602,artifact-sensitive,appendix-artifact,artifact-sensitive cautionary case,marketing tabular,month shift,binary classification,scripts/run_bank_marketing_neural_scds_scores.py; scripts/audit_bank_weighting_artifact.py,OpenML/UCI Bank Marketing,UCI page reports CC BY 4.0; OpenML mirror provenance recorded; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Bank Marketing::may->jun,Bank Marketing,may->jun,best balanced vs unweighted,0.0496138544348233,0.008148963393661,artifact-sensitive,appendix-artifact,artifact-sensitive cautionary case,marketing tabular,month shift,binary classification,scripts/run_bank_marketing_neural_scds_scores.py; scripts/audit_bank_weighting_artifact.py,OpenML/UCI Bank Marketing,UCI page reports CC BY 4.0; OpenML mirror provenance recorded; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Bank Marketing::may->nov,Bank Marketing,may->nov,best balanced vs unweighted,0.0733627204030226,0.0318978293618604,artifact-sensitive,appendix-artifact,artifact-sensitive cautionary case,marketing tabular,month shift,binary classification,scripts/run_bank_marketing_neural_scds_scores.py; scripts/audit_bank_weighting_artifact.py,OpenML/UCI Bank Marketing,UCI page reports CC BY 4.0; OpenML mirror provenance recorded; see dataset license audit,False,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
